Factor X,Factor Y,Factor Z,Factor W
40.39377695760115,45.18691479419231,39.98921092993703,18.853923544212126
42.601067048990245,52.677171956968515,28.91562713862983,18.61814328318847
54.18501663064131,41.510972702456904,37.89732519143736,17.29838494110589
51.650530941296,44.19903639454111,37.92049514352511,17.303852292119792
34.9904836584822,41.9804135879751,41.3563970009654,16.183240560896078
42.90014826122387,52.21936847647098,47.33164726812911,21.318249112831474
54.92282674824255,43.123533660500115,42.59096678468294,17.039790622258423
41.438408684330405,56.998340164016824,34.177479207713525,17.790851707762485
50.951491677448324,42.30232349506728,38.466350559158805,15.594759981664152
38.70196502919087,41.10782944213799,36.98000928330812,17.185173398431914
38.315472212969524,51.65250048739459,48.54989802905237,18.390524951385277
51.394819378901566,42.41212105011729,37.00553801177494,18.798687767182273
51.26771205320603,43.36812490984263,32.950399505531124,18.434992114015788
50.3078040160198,38.892621686936394,30.827948002044906,18.689994428945507
40.38015756280151,42.5015313458726,40.79733697657735,18.054881966763915
57.19703256606894,46.290423802468354,37.15530692357744,20.456867983923342
56.73828817964029,50.09589778080347,42.36750120884595,19.687830107944833
35.83184777358133,45.78455070762544,43.8993422764898,15.278175167462203
47.63133851855214,43.05247611414424,32.97182798795342,16.080272510355766
57.711554164364784,46.10126375683168,43.08794145199545,21.073252033948698
60.00618310912395,44.32928844036544,36.98987009236559,16.800455774487563
32.30627674054379,38.308824169111766,26.0448877063599,12.992565664694453
48.717203668906194,38.6792308069225,32.91642086769256,14.84331380322297
60.233470952633425,42.86564188637812,31.40805722300238,19.078946108910273
39.62527131560151,38.725588547793215,33.842039655755734,22.302042904635446
52.01761872129896,47.52462647282953,41.63244118342019,18.37585921797857
33.365718224165064,39.523373806402276,41.780219864112155,18.30520811292577
54.49584931581422,42.292203990304024,39.3159995234932,17.330153079709525
39.79939174267164,48.69671832367715,40.735968393459466,20.479083030928145
34.95885951574952,41.21972991021811,44.121880590767226,16.51077531208615
1.5729800512007002,1.07866093753266,-0.459406749639801,0.9284459102766325
50.91337184331176,43.90810225654727,38.98210409251972,18.789220556272923
35.692465607470886,43.65912029443102,45.23565025419168,16.01153377059858
36.3306489186151,42.6330823200431,46.08657484762796,16.751669071712517
51.583438415595936,40.220753074162594,35.42580286174582,14.510182959396808
49.7155031407094,41.262743041017494,38.729096310921285,15.87151344262753
11.4578364148568,18.520814046961977,20.221903052364482,8.698109303037151
47.80157071207328,43.76256186269761,37.542172410521104,16.281915693271717
44.80576151286931,59.0332658037008,33.005529141389054,19.6134576489256
38.007734078649655,45.02028012058339,36.18893653680582,16.027716972363553
44.15881505548069,40.83945229848576,36.54443200947774,13.302240260999923
32.862112556906425,41.10335059200409,40.16794702394403,14.692868374684643
43.580663079068366,55.971905945273065,38.59190174450938,17.832870477080483
60.008400945190616,47.15909712162722,42.341662151915315,21.025851008267704
55.46693146016013,40.10597659737719,31.025966087735856,16.509644968036934
51.15225031372914,44.101400237465555,39.4533616834067,18.512776615950138
49.00008704805665,38.12555522903727,34.43963417569717,13.67015385681729
44.80287586142535,50.022239499094674,43.137252505730174,19.202658221899586
45.67991959745622,41.40004710241713,35.52562729932182,14.761994651902935
42.75554687087724,52.93420173037042,31.318046276380283,18.2729275894185
36.86068209079783,45.21518748817346,41.875019683783975,14.857594636374529
52.23371379150418,44.9096350942633,40.396914930274775,17.392938066397793
51.42481596433376,41.106961486740936,32.10844799775402,17.14972012317645
41.87633515690799,55.52776770498787,40.20403194089285,15.185783972993267
0.0,0.0,0.0,0.0
59.42240928541404,40.169658853500174,39.332361677210315,19.425699546535704
44.35345464703498,55.94673305555339,40.20504593450543,18.11264832156664
37.39430723096243,45.71869194186116,34.21393621744995,19.661917971366897
53.49973650397251,45.32228572500939,39.07194644256807,17.526263252360668
43.443501081720605,47.280416543866146,37.68101767733171,19.298215132349533
55.383973717796835,45.811002137531524,42.17092456419319,18.39257069463905
35.99700440316181,42.14690790815061,43.78116928771805,16.347911655662458
45.352193054918764,54.16726453130651,38.41256955728242,18.015748073808354
30.906267166539354,46.37714910745542,45.46943950542615,16.693526450280924
43.86328800983794,54.99921750228416,37.97395008885635,17.683748655106918
56.15638306102961,37.96276249240503,33.357067083705275,16.697488491272452
54.97624816306096,44.60625407087354,39.27767777465293,17.06847505314134
36.10571111632234,43.24262366926172,41.47376546087724,18.684298219203992
39.871743407183025,53.236338416243335,31.781255451755364,17.24388118341203
39.07021621242834,49.27922066909845,39.60230471677239,20.879996981096312
38.053006241635174,44.80567465163843,35.107928943458205,15.867786895826473
40.85201682113817,50.645918384915284,48.83885639763195,20.138757134015425
37.89636952302377,46.64245497593023,41.417203192673384,17.135661034484503
31.85295263522926,44.44149106877059,42.36669150592727,14.80762361021755
49.46375315450754,44.97188188875247,41.87537297464062,17.07697998260593
54.25413648399733,44.13424714198072,34.92187535068297,17.79593599975707
38.03228848790728,49.59218800230159,48.86571184864934,20.576487616372138
44.69004002469792,54.05761819198142,47.18341073355007,20.12351449666469
55.93907598801362,48.99451217524849,43.21830904388966,18.520919746957006
40.79785302541561,49.823118950734305,44.55105726915351,18.52780789273336
51.20132652315642,43.00558731417544,37.676371285391106,15.853491814184768
35.33812200481152,41.39633750644217,44.13475975326233,14.13915344981517
51.4442909059015,41.15926298516181,37.24287131603595,15.987415905059422
52.00232188736209,35.72589917972782,32.97732167408235,16.95734480671127
44.72380724711492,53.98403093813747,39.05484623039387,16.81522296874264
28.867312333190583,34.580623928650155,38.71010822634178,18.73927610554434
51.15103778317823,45.59927487423882,39.041384742140444,17.230285892884574
